date,origin_city,dest_city,departure_date_time,arrival_date_time,passengers
2023-01-24,South Markland,South Theresa,2023-01-24 09:39,2023-01-26 04:48,
2022-08-26,North Amanda,North Amanda,2022-08-26 14:43,2022-08-28 10:55,
,West Kyleborough,West Danastad,,,108.0
2022-08-04,South Markland,Barbaraside,2022-08-04 01:08,2022-08-06 17:27,65.0
2022-02-13,Rachelmouth,Lake Jessemouth,2022-02-13 03:25,2022-02-15 06:39,120.0
2023-03-20,East Victoriaton,Matthewton,2023-03-20 21:49,2023-03-21 17:45,91.0
2023-01-03,South Luis,Lake Jessemouth,2023-01-03 14:47,2023-01-04 06:54,113.0
2023-05-04,Morrisonstad,East Dannyshire,2023-05-04 18:45,2023-05-06 15:45,68.0
2023-02-13,East Victoriaton,East Cynthiafort,2023-02-13 06:49,2023-02-15 17:39,88.0
,Lake Joshuaport,Perezborough,,,113.0
,Albertshire,Lake Allisonmouth,,,66.0
2023-05-11,Barbaraside,Lake Allisonmouth,2023-05-11 08:53,2023-05-12 22:56,108.0
,East Joseph,Holdenton,,,175.0
2022-04-26,Rachelmouth,Port Michael,2022-04-26 06:26,2022-04-28 10:08,92.0
2023-05-21,West Cynthiabury,Maldonadoland,2023-05-21 14:20,2023-05-22 07:10,199.0
2023-04-17,West Cynthiabury,South Jacob,2023-04-17 16:55,2023-04-19 23:18,199.0
2022-02-27,Bellland,South Markland,2022-02-27 04:57,2022-03-01 17:57,
2022-08-22,Huffside,Rachelmouth,2022-08-22 15:32,2022-08-24 02:34,185.0
2023-01-26,Bellland,Matthewton,2023-01-26 04:55,2023-01-28 19:30,178.0
,West Danastad,West Cynthiabury,,,105.0
2022-12-04,Matthewton,West Danastad,2022-12-04 03:32,2022-12-05 01:35,54.0
2022-10-12,South Jamesborough,East Dannyshire,2022-10-12 06:53,2022-10-13 18:30,157.0
2022-08-24,West Cynthiabury,East Cynthiafort,2022-08-24 05:59,2022-08-25 19:44,188.0
,South Jacob,West Danastad,,,188.0
2023-09-19,Jennifershire,Howardton,2023-09-19 01:47,2023-09-20 21:02,174.0
2023-07-13,Davishaven,South Heidi,2023-07-13 21:46,2023-07-14 01:23,56.0
,Boonetown,East Joseph,,,197.0
2023-07-13,Lake Christopher,South Luis,2023-07-13 10:33,2023-07-14 12:12,
2022-05-08,South Markland,Perezborough,2022-05-08 18:58,2022-05-10 18:30,126.0
2023-03-14,Barbaraside,Matthewstad,2023-03-14 14:19,2023-03-15 17:35,78.0
2023-05-17,Maldonadoland,East Joseph,2023-05-17 01:27,2023-05-18 10:35,
,Lake Christopher,East Dannyshire,,,147.0
,South Markland,East Cynthiafort,,,110.0
2022-03-08,South Luis,Holmesburgh,2022-03-08 14:27,2022-03-10 22:39,158.0
2023-08-05,Lake Allisonmouth,Smithhaven,2023-08-05 09:47,2023-08-07 01:41,94.0
2023-12-20,South Jamesborough,Port Michael,2023-12-20 15:03,2023-12-21 17:42,73.0
2023-07-22,Yoderhaven,Diazville,2023-07-22 18:27,2023-07-23 08:42,194.0
2023-03-12,West Susan,South Heidi,2023-03-12 20:52,2023-03-13 11:20,132.0
2022-05-13,Maldonadoland,East Cynthiafort,2022-05-13 08:32,2022-05-15 08:21,132.0
2022-03-11,East Alexander,Holdenton,2022-03-11 16:54,2022-03-12 06:31,
2022-10-31,Barbaraside,Holmesburgh,2022-10-31 22:37,2022-11-01 05:48,170.0
2022-09-24,Perezborough,South Heidi,2022-09-24 08:40,2022-09-26 20:20,188.0
2022-09-14,Vargasview,Holdenton,2022-09-14 02:59,2022-09-15 22:17,190.0
2023-06-19,Morrisonstad,Vargasview,2023-06-19 08:00,2023-06-21 22:27,99.0
2023-08-11,Smithhaven,West Susan,2023-08-11 17:55,2023-08-13 21:56,79.0
,Perezborough,Leeside,,,161.0
2023-09-11,West Danastad,Davishaven,2023-09-11 02:58,2023-09-12 06:16,51.0
2023-02-22,South Heidi,South Luis,2023-02-22 03:27,2023-02-23 18:43,51.0
,Mcculloughhaven,Jennifershire,,,140.0
2023-08-14,Rachelmouth,East Victoriaton,2023-08-14 19:17,2023-08-16 08:57,187.0
2023-06-15,Leeside,East Joseph,2023-06-15 23:00,2023-06-17 05:44,195.0
2022-03-01,Lake Joshuaport,East Joseph,2022-03-01 06:46,2022-03-03 17:00,130.0
2022-06-15,Matthewton,Davishaven,2022-06-15 09:40,2022-06-17 16:02,173.0
2022-12-20,Howardton,Deborahshire,2022-12-20 22:37,2022-12-22 14:24,60.0
2022-05-20,West Susan,East Cynthiafort,2022-05-20 07:41,2022-05-22 11:14,112.0
2022-07-03,West Danastad,East Cynthiafort,2022-07-03 20:48,2022-07-05 00:28,
,East Victoriaton,Rachelmouth,,,158.0
2023-09-15,Yoderhaven,Lake Christopher,2023-09-15 06:03,2023-09-17 23:20,109.0
2023-04-29,North Evan,Maldonadoland,2023-04-29 16:12,2023-04-30 18:58,105.0
2023-01-13,Coleland,Lake Joshuaport,2023-01-13 07:56,2023-01-15 11:09,95.0
,South Markland,Perezborough,,,68.0
,Webbstad,Barbaraside,,,155.0
,Howardton,Albertshire,,,
2022-04-17,North Evan,Albertshire,2022-04-17 03:20,2022-04-18 12:55,193.0
2022-01-30,South Heidi,Howardton,2022-01-30 19:23,2022-01-31 04:50,
2022-10-18,Rachelmouth,Port Michael,2022-10-18 22:50,2022-10-19 06:27,189.0
2022-03-19,Lake Jessemouth,South Jacob,2022-03-19 03:15,2022-03-21 22:03,81.0
,Lake Joshuaport,South Jacob,,,111.0
2022-04-16,East Dannyshire,South Heidi,2022-04-16 13:59,2022-04-18 07:29,72.0
,Lake Christopher,Bellland,,,66.0
2022-09-14,Albertshire,North Amanda,2022-09-14 00:15,2022-09-15 09:41,
2023-04-25,West Susan,Matthewstad,2023-04-25 01:57,2023-04-26 08:22,87.0
2022-10-01,Mcculloughhaven,South Theresa,2022-10-01 11:11,2022-10-03 19:23,109.0
2023-06-30,South Heidi,Jennifershire,2023-06-30 12:49,2023-07-02 07:00,160.0
2023-11-02,Howardton,West Kyleborough,2023-11-02 04:55,2023-11-03 12:40,109.0
2022-08-29,Lake Christopher,North Evan,2022-08-29 08:04,2022-08-31 18:48,196.0
2023-07-17,Matthewton,East Alexander,2023-07-17 02:43,2023-07-18 13:36,144.0
2023-08-17,Yoderhaven,South Markland,2023-08-17 13:09,2023-08-19 07:49,80.0
2022-08-28,Coleland,Leeside,2022-08-28 21:49,2022-08-29 03:34,136.0
2022-03-23,South Markland,Lake Joshuaport,2022-03-23 03:19,2022-03-24 05:16,171.0
2023-08-11,East Victoriaton,Leeside,2023-08-11 18:47,2023-08-12 02:29,54.0
2023-04-25,East Joseph,West Susan,2023-04-25 06:22,2023-04-26 11:09,55.0
2023-08-10,Stephanieborough,West Kyleborough,2023-08-10 09:32,2023-08-11 07:07,153.0
,South Markland,East Cynthiafort,,,168.0
2022-03-29,Smithhaven,Holdenton,2022-03-29 08:33,2022-03-31 18:44,166.0
2023-11-19,Maldonadoland,South Markland,2023-11-19 15:08,2023-11-21 06:33,120.0
2023-11-03,South Jacob,South Markland,2023-11-03 07:51,2023-11-05 09:27,196.0
2023-11-09,West Kyleborough,Barbaraside,2023-11-09 01:22,2023-11-11 14:32,93.0
2022-09-02,Vargasview,Davishaven,2022-09-02 02:40,2022-09-04 07:38,66.0
,West Susan,West Cynthiabury,,,136.0
2022-05-30,Mcculloughhaven,South Jacob,2022-05-30 01:28,2022-06-01 19:25,84.0
,Boonetown,West Danastad,,,77.0
2023-08-19,Coleland,Diazville,2023-08-19 18:49,2023-08-20 21:01,73.0
2022-02-04,West Cynthiabury,Boonetown,2022-02-04 07:43,2022-02-05 08:03,142.0
,Stephanieborough,East Dannyshire,,,
2022-08-19,South Andreburgh,South Heidi,2022-08-19 21:51,2022-08-20 10:18,78.0
2022-04-13,West Danastad,Port Michael,2022-04-13 20:07,2022-04-15 14:00,94.0
2023-11-24,Howardton,South Markland,2023-11-24 23:30,2023-11-25 03:47,116.0
,Rachelmouth,South Theresa,,,170.0
2022-06-28,Port Michael,Stephanieborough,2022-06-28 14:33,2022-06-30 21:58,88.0
,Lake Megan,Davishaven,,,93.0
2023-05-14,Huffside,East Alexander,2023-05-14 17:49,2023-05-15 21:12,51.0
2023-06-11,North Amanda,Port Michael,2023-06-11 06:16,2023-06-13 05:08,78.0
2022-06-04,West Susan,Lake Joshuaport,2022-06-04 15:28,2022-06-05 09:28,126.0
2022-03-12,Holmesburgh,Coleland,2022-03-12 07:12,2022-03-14 11:54,181.0
2022-02-16,Smithhaven,Deborahshire,2022-02-16 08:05,2022-02-17 09:26,110.0
2023-10-27,Diazville,Lake Jessemouth,2023-10-27 20:27,2023-10-28 09:52,78.0
2022-07-11,Coleland,Matthewstad,2022-07-11 07:53,2022-07-13 02:22,106.0
2023-05-27,Barbaraside,North Evan,2023-05-27 23:39,2023-05-28 23:12,80.0
,Albertshire,Holmesburgh,,,90.0
,Matthewton,Perezborough,,,180.0
2023-05-02,Maldonadoland,South Luis,2023-05-02 10:56,2023-05-04 04:26,104.0
,North Evan,Holdenton,,,81.0
2022-05-22,South Jamesborough,West Susan,2022-05-22 07:25,2022-05-24 10:24,119.0
2022-10-17,Boonetown,East Cynthiafort,2022-10-17 23:22,2022-10-18 07:29,134.0
2022-04-29,South Heidi,Holmesburgh,2022-04-29 02:42,2022-04-30 13:56,109.0
2023-08-10,Matthewstad,Matthewstad,2023-08-10 19:03,2023-08-12 16:15,188.0
,Lake Allisonmouth,Boonetown,,,177.0
2023-07-21,Matthewton,Leeside,2023-07-21 10:35,2023-07-22 01:19,145.0
2023-03-26,West Kyleborough,West Susan,2023-03-26 10:50,2023-03-27 16:10,152.0
,Stephanieborough,Davishaven,,,137.0
2023-01-24,West Kyleborough,South Luis,2023-01-24 17:10,2023-01-25 08:46,183.0
2022-04-22,Huffside,South Heidi,2022-04-22 15:58,2022-04-24 23:18,51.0
2023-04-15,North Amanda,Perezborough,2023-04-15 11:55,2023-04-17 23:11,139.0
2022-03-02,Deborahshire,South Luis,2022-03-02 02:40,2022-03-04 17:49,
2023-06-15,South Jamesborough,Boonetown,2023-06-15 19:51,2023-06-16 23:14,81.0
2022-02-21,Diazville,Deborahshire,2022-02-21 17:28,2022-02-23 06:33,146.0
2023-10-04,East Victoriaton,Bellland,2023-10-04 00:54,2023-10-06 13:46,118.0
,West Susan,West Kyleborough,,,91.0
2022-11-02,Barbaraside,South Heidi,2022-11-02 12:07,2022-11-04 09:54,195.0
2022-03-02,East Alexander,Bellland,2022-03-02 08:43,2022-03-03 06:25,166.0
,Holmesburgh,East Alexander,,,144.0
2023-07-10,South Theresa,Morrisonstad,2023-07-10 09:28,2023-07-11 03:02,145.0
,Leeside,West Cynthiabury,,,192.0
2023-07-14,Diazville,Lake Joshuaport,2023-07-14 21:45,2023-07-15 03:37,150.0
2023-10-11,North Amanda,Howardton,2023-10-11 01:29,2023-10-12 19:26,
2022-08-27,Webbstad,Holdenton,2022-08-27 22:13,2022-08-29 02:32,
2023-04-24,Maldonadoland,Holdenton,2023-04-24 05:30,2023-04-25 19:10,147.0
2022-11-20,Albertshire,South Theresa,2022-11-20 06:12,2022-11-21 19:52,53.0
2022-11-29,Boonetown,South Markland,2022-11-29 19:55,2022-12-01 09:49,120.0
2023-04-01,Maldonadoland,Lake Megan,2023-04-01 01:11,2023-04-02 12:14,182.0
2022-06-13,Bellland,Lake Megan,2022-06-13 18:04,2022-06-15 00:21,88.0
2022-11-12,Lake Joshuaport,Lake Allisonmouth,2022-11-12 09:03,2022-11-13 08:03,178.0
2022-11-05,Morrisonstad,Leeside,2022-11-05 18:55,2022-11-07 08:45,128.0
,South Luis,Lake Megan,,,
2022-09-22,Matthewstad,Huffside,2022-09-22 17:03,2022-09-24 13:14,79.0
2022-06-18,Jennifershire,South Luis,2022-06-18 12:43,2022-06-19 19:03,67.0
2023-01-26,Perezborough,Smithhaven,2023-01-26 05:21,2023-01-28 10:35,54.0
2022-11-03,Maldonadoland,North Evan,2022-11-03 14:47,2022-11-05 11:44,116.0
2022-06-12,Rachelmouth,Leeside,2022-06-12 10:41,2022-06-14 02:23,177.0
2022-11-02,Boonetown,Leeside,2022-11-02 17:18,2022-11-04 02:17,113.0
2023-05-15,South Luis,Huffside,2023-05-15 09:46,2023-05-16 14:18,171.0
2022-08-21,Diazville,Vargasview,2022-08-21 06:13,2022-08-23 21:14,78.0
2023-07-03,South Andreburgh,Davishaven,2023-07-03 09:52,2023-07-05 06:44,67.0
2023-11-17,South Andreburgh,Yoderhaven,2023-11-17 17:57,2023-11-18 07:14,56.0
2022-08-30,Vargasview,South Markland,2022-08-30 23:50,2022-09-01 11:09,130.0
2022-03-29,Mcculloughhaven,Lake Christopher,2022-03-29 05:33,2022-03-31 20:05,62.0
2023-01-30,Mcculloughhaven,South Theresa,2023-01-30 17:24,2023-02-01 15:46,150.0
2022-04-10,Deborahshire,Perezborough,2022-04-10 20:28,2022-04-11 08:14,158.0
2023-02-24,Port Michael,South Theresa,2023-02-24 14:08,2023-02-26 20:40,68.0
2023-01-04,Albertshire,West Susan,2023-01-04 23:04,2023-01-05 10:53,97.0
,South Jacob,Matthewstad,,,63.0
,Davishaven,Deborahshire,,,69.0
2023-04-30,South Jacob,Coleland,2023-04-30 09:19,2023-05-01 12:15,52.0
2022-10-21,Albertshire,Mcculloughhaven,2022-10-21 23:41,2022-10-22 20:42,129.0
2022-06-30,Vargasview,Lake Christopher,2022-06-30 17:27,2022-07-01 12:11,182.0
2022-01-11,Davishaven,South Luis,2022-01-11 14:20,2022-01-13 12:15,115.0
2022-12-27,South Markland,Vargasview,2022-12-27 16:22,2022-12-28 04:55,178.0
2022-06-15,Jennifershire,Lake Allisonmouth,2022-06-15 12:10,2022-06-17 01:47,79.0
2022-01-29,North Evan,Albertshire,2022-01-29 07:30,2022-01-31 12:32,
2022-05-06,West Kyleborough,Lake Megan,2022-05-06 17:38,2022-05-08 15:24,109.0
2022-06-12,Boonetown,North Amanda,2022-06-12 09:02,2022-06-14 08:17,
2022-10-02,Lake Jessemouth,Deborahshire,2022-10-02 16:18,2022-10-04 05:47,119.0
2023-05-23,Lake Joshuaport,West Kyleborough,2023-05-23 01:22,2023-05-24 03:12,
2023-09-16,Smithhaven,Coleland,2023-09-16 19:13,2023-09-18 04:50,164.0
2023-01-02,Diazville,South Andreburgh,2023-01-02 16:08,2023-01-04 22:26,57.0
2022-08-26,Stephanieborough,Barbaraside,2022-08-26 16:28,2022-08-28 20:07,191.0
,South Markland,South Heidi,,,93.0
2022-05-10,East Joseph,South Andreburgh,2022-05-10 13:34,2022-05-11 23:25,122.0
2022-11-28,Howardton,West Danastad,2022-11-28 14:50,2022-11-29 18:08,152.0
2023-03-11,West Susan,West Susan,2023-03-11 13:51,2023-03-12 16:52,
2022-07-07,Mcculloughhaven,Huffside,2022-07-07 10:41,2022-07-09 11:11,173.0
2022-05-31,Maldonadoland,East Dannyshire,2022-05-31 02:00,2022-06-01 23:13,121.0
2022-04-25,South Luis,Jennifershire,2022-04-25 11:02,2022-04-27 20:19,188.0
2022-04-11,Bellland,North Evan,2022-04-11 09:55,2022-04-12 13:39,184.0
2022-04-08,North Evan,Matthewton,2022-04-08 12:53,2022-04-10 10:15,70.0
2022-09-06,North Amanda,Vargasview,2022-09-06 02:07,2022-09-07 08:23,197.0
2023-10-31,Webbstad,Coleland,2023-10-31 04:12,2023-11-02 23:09,115.0
2023-06-02,Jennifershire,Davishaven,2023-06-02 00:21,2023-06-03 16:23,189.0
2022-01-13,Rachelmouth,Boonetown,2022-01-13 11:03,2022-01-14 09:19,164.0
2022-11-09,Howardton,South Heidi,2022-11-09 22:11,2022-11-10 07:00,95.0
2023-08-25,Stephanieborough,Vargasview,2023-08-25 19:15,2023-08-27 02:49,116.0
2023-07-31,West Kyleborough,Barbaraside,2023-07-31 13:33,2023-08-02 01:32,194.0
2022-01-31,Rachelmouth,Lake Christopher,2022-01-31 13:08,2022-02-01 11:09,97.0
2023-06-07,South Heidi,East Joseph,2023-06-07 04:39,2023-06-09 21:12,156.0
,Morrisonstad,East Cynthiafort,,,112.0
2022-04-07,Holdenton,South Heidi,2022-04-07 08:02,2022-04-08 18:08,171.0
2022-04-27,North Amanda,South Luis,2022-04-27 00:34,2022-04-29 02:38,128.0
,Vargasview,Lake Jessemouth,,,169.0
2022-08-31,South Luis,Albertshire,2022-08-31 02:57,2022-09-02 17:39,59.0
2023-04-23,West Danastad,West Cynthiabury,2023-04-23 08:34,2023-04-24 11:33,192.0
2022-10-10,West Susan,Maldonadoland,2022-10-10 13:29,2022-10-11 15:49,62.0
2022-10-27,South Heidi,Lake Jessemouth,2022-10-27 03:37,2022-10-29 15:35,168.0
2022-09-21,Lake Joshuaport,West Cynthiabury,2022-09-21 12:25,2022-09-22 10:03,188.0
,North Evan,North Evan,,,172.0
2022-08-08,Morrisonstad,North Evan,2022-08-08 17:02,2022-08-10 15:44,
2023-09-15,Lake Allisonmouth,Lake Joshuaport,2023-09-15 04:14,2023-09-16 21:25,92.0
2023-04-09,West Danastad,Holmesburgh,2023-04-09 02:02,2023-04-10 14:50,142.0
,North Evan,South Heidi,,,127.0
,North Amanda,Matthewstad,,,172.0
2022-06-17,West Danastad,Stephanieborough,2022-06-17 21:53,2022-06-19 18:36,138.0
2023-08-19,Matthewton,Stephanieborough,2023-08-19 09:02,2023-08-20 18:02,61.0
2023-02-21,Maldonadoland,Bellland,2023-02-21 22:16,2023-02-22 07:21,118.0
,Albertshire,Matthewton,,,62.0
2022-10-11,Lake Megan,South Jacob,2022-10-11 20:17,2022-10-12 20:42,123.0
2023-10-06,East Alexander,Holmesburgh,2023-10-06 23:31,2023-10-08 15:04,72.0
,West Susan,Rachelmouth,,,124.0
2022-05-29,Morrisonstad,Maldonadoland,2022-05-29 21:59,2022-05-30 21:58,187.0
2023-06-16,East Dannyshire,Webbstad,2023-06-16 12:29,2023-06-18 00:32,90.0
,West Cynthiabury,Deborahshire,,,79.0
2023-10-14,Maldonadoland,Stephanieborough,2023-10-14 21:00,2023-10-15 06:21,126.0
2022-08-06,Morrisonstad,Bellland,2022-08-06 05:24,2022-08-08 00:28,74.0
2022-01-27,Lake Christopher,East Dannyshire,2022-01-27 16:33,2022-01-29 18:22,140.0
2022-08-16,South Theresa,Leeside,2022-08-16 10:04,2022-08-18 15:28,95.0
2023-04-15,Lake Jessemouth,Matthewstad,2023-04-15 07:54,2023-04-16 23:45,105.0
2023-02-05,Matthewton,Howardton,2023-02-05 19:45,2023-02-06 02:32,120.0
,North Amanda,Bellland,,,196.0
2022-12-16,Coleland,Maldonadoland,2022-12-16 17:14,2022-12-18 15:33,
2023-11-12,East Alexander,Barbaraside,2023-11-12 18:38,2023-11-14 23:08,190.0
,Maldonadoland,East Alexander,,,
2022-08-26,Lake Allisonmouth,West Susan,2022-08-26 02:26,2022-08-28 21:46,178.0
2023-07-12,Webbstad,East Joseph,2023-07-12 20:40,2023-07-14 08:57,126.0
2022-11-13,Webbstad,Leeside,2022-11-13 05:27,2022-11-14 15:11,71.0
2022-01-16,Morrisonstad,Holmesburgh,2022-01-16 17:08,2022-01-17 17:00,132.0
2022-10-17,North Evan,Diazville,2022-10-17 15:04,2022-10-18 09:17,114.0
2022-04-17,Diazville,Howardton,2022-04-17 10:22,2022-04-18 22:11,162.0
,Davishaven,Boonetown,,,157.0
2022-11-04,Deborahshire,Lake Megan,2022-11-04 12:49,2022-11-06 15:25,56.0
2022-04-03,Albertshire,Webbstad,2022-04-03 18:52,2022-04-04 12:21,91.0
2022-02-18,Jennifershire,Matthewton,2022-02-18 19:29,2022-02-20 06:33,193.0
,Perezborough,East Alexander,,,155.0
2023-09-13,Howardton,Jennifershire,2023-09-13 04:46,2023-09-15 07:44,61.0
2023-01-04,East Alexander,West Cynthiabury,2023-01-04 01:52,2023-01-06 19:13,
,South Jacob,South Jacob,,,142.0
2023-09-17,North Evan,Maldonadoland,2023-09-17 21:14,2023-09-18 00:22,62.0
2023-12-05,Leeside,Coleland,2023-12-05 17:10,2023-12-06 11:29,165.0
2022-05-28,Boonetown,East Dannyshire,2022-05-28 16:23,2022-05-30 23:18,177.0
2023-06-20,Lake Allisonmouth,West Susan,2023-06-20 13:37,2023-06-21 14:53,193.0
2022-07-02,East Alexander,East Victoriaton,2022-07-02 08:14,2022-07-04 11:08,53.0
2023-01-08,South Heidi,Yoderhaven,2023-01-08 03:56,2023-01-09 13:05,135.0
2023-05-04,Boonetown,Stephanieborough,2023-05-04 01:55,2023-05-05 12:13,102.0
2023-01-12,North Amanda,Boonetown,2023-01-12 18:18,2023-01-14 14:13,110.0
2023-01-01,Holmesburgh,North Amanda,2023-01-01 19:50,2023-01-03 11:47,140.0
2022-02-25,Perezborough,Matthewstad,2022-02-25 08:48,2022-02-26 07:02,65.0
,Lake Jessemouth,East Joseph,,,159.0
2023-07-05,Lake Megan,Maldonadoland,2023-07-05 17:07,2023-07-07 15:11,189.0
2022-07-09,Maldonadoland,Lake Joshuaport,2022-07-09 21:22,2022-07-10 13:00,
2022-04-04,West Kyleborough,Matthewton,2022-04-04 23:14,2022-04-06 04:48,99.0
,East Victoriaton,Coleland,,,67.0
,South Jacob,East Dannyshire,,,
2022-01-27,Webbstad,Holmesburgh,2022-01-27 07:53,2022-01-28 10:22,196.0
2022-05-01,East Joseph,South Jamesborough,2022-05-01 02:14,2022-05-03 08:36,122.0
,South Luis,Matthewton,,,55.0
2023-12-05,Barbaraside,Mcculloughhaven,2023-12-05 04:20,2023-12-06 12:57,108.0
2022-10-22,East Joseph,Lake Megan,2022-10-22 17:36,2022-10-24 06:36,90.0
2023-09-11,Deborahshire,Holdenton,2023-09-11 23:57,2023-09-13 04:56,67.0
2023-12-20,Maldonadoland,Howardton,2023-12-20 02:46,2023-12-21 10:41,
2022-07-09,Diazville,South Jacob,2022-07-09 10:03,2022-07-11 22:37,148.0
,Barbaraside,East Cynthiafort,,,160.0
2023-12-27,South Jamesborough,Maldonadoland,2023-12-27 01:26,2023-12-28 18:55,
2022-07-09,South Luis,Maldonadoland,2022-07-09 10:01,2022-07-10 19:16,115.0
2022-05-05,West Susan,East Alexander,2022-05-05 23:59,2022-05-06 01:43,194.0
2023-06-30,Holdenton,East Victoriaton,2023-06-30 17:56,2023-07-01 08:22,115.0
2022-12-07,Morrisonstad,South Jacob,2022-12-07 01:38,2022-12-09 02:28,71.0
2022-05-18,Port Michael,Matthewton,2022-05-18 01:36,2022-05-19 06:57,65.0
2022-05-05,South Jacob,Holmesburgh,2022-05-05 06:35,2022-05-07 07:49,191.0
